vehicleId,lat,lng,dateStored,velocity,odometer,engineVoltage,dateStoredHuman,dateOnlyStoredHuman,timeOnly,orientation
15,37.5111149,22.3848316,1729099564000,41.0,0.0,5.235,2024-10-16 20:26:04,2024-10-16,20:26:04,Northwest
15,37.5111933,22.38465,1729099567000,44.0,0.0,5.236,2024-10-16 20:26:07,2024-10-16,20:26:07,East
15,37.510935,22.3868166,1729099883000,20.0,0.0,5.239,2024-10-16 20:31:23,2024-10-16,20:31:23,West
15,37.51097,22.3865583,1729099899000,29.0,0.0,5.243,2024-10-16 20:31:39,2024-10-16,20:31:39,West
15,37.511005,22.3863299,1729099905000,24.0,0.0,5.23,2024-10-16 20:31:45,2024-10-16,20:31:45,South
15,37.5109866,22.3863266,1729099912000,23.0,0.0,5.238,2024-10-16 20:31:52,2024-10-16,20:31:52,Southwest
15,37.510505,22.3857566,1729103538000,24.0,0.0,5.236,2024-10-16 21:32:18,2024-10-16,21:32:18,West
15,37.5104783,22.3852833,1729103546000,20.0,0.0,5.236,2024-10-16 21:32:26,2024-10-16,21:32:26,West
15,37.5104916,22.3851083,1729103566000,0.0,0.0,5.236,2024-10-16 21:32:46,2024-10-16,21:32:46,Northeast
15,37.5113749,22.3858349,1729109133000,23.0,0.0,5.236,2024-10-16 23:05:33,2024-10-16,23:05:33,Northwest
15,37.51155,22.3857,1729109149000,17.0,0.0,5.236,2024-10-16 23:05:49,2024-10-16,23:05:49,North
15,37.51159,22.3856883,1729109163000,20.0,0.0,5.237,2024-10-16 23:06:03,2024-10-16,23:06:03,Southeast
15,37.5112616,22.3859616,1729109485000,19.0,0.0,5.236,2024-10-16 23:11:25,2024-10-16,23:11:25,West
15,37.5112566,22.3858766,1729109490000,12.0,0.0,5.232,2024-10-16 23:11:30,2024-10-16,23:11:30,North
15,37.511265,22.3858783,1729109493000,6.0,0.0,5.217,2024-10-16 23:11:33,2024-10-16,23:11:33,Northwest
15,37.5114083,22.3856433,1729109503000,20.0,0.0,5.236,2024-10-16 23:11:43,2024-10-16,23:11:43,West
15,37.5114266,22.3853699,1729109505000,31.0,0.0,5.238,2024-10-16 23:11:45,2024-10-16,23:11:45,Northwest
15,37.5116916,22.3852249,1729109507000,41.0,0.0,5.234,2024-10-16 23:11:47,2024-10-16,23:11:47,North
15,37.5119166,22.3851116,1729109510000,36.0,0.0,5.228,2024-10-16 23:11:50,2024-10-16,23:11:50,Northwest
15,37.5120283,22.3850233,1729109515000,31.0,0.0,5.232,2024-10-16 23:11:55,2024-10-16,23:11:55,Southeast
15,37.5109216,22.386295,1729109835000,14.0,0.0,5.236,2024-10-16 23:17:15,2024-10-16,23:17:15,West
15,37.5109283,22.3862616,1729109839000,11.0,0.0,5.234,2024-10-16 23:17:19,2024-10-16,23:17:19,North
15,37.51107,22.386215,1729109846000,6.0,0.0,5.23,2024-10-16 23:17:26,2024-10-16,23:17:26,Northwest
15,37.5112249,22.3859983,1729109851000,19.0,0.0,5.235,2024-10-16 23:17:31,2024-10-16,23:17:31,Northwest
15,37.5113583,22.3857883,1729109854000,22.0,0.0,5.232,2024-10-16 23:17:34,2024-10-16,23:17:34,Northwest
15,37.5114833,22.3855283,1729109857000,31.0,0.0,5.23,2024-10-16 23:17:37,2024-10-16,23:17:37,Northwest
15,37.5115866,22.3852933,1729109860000,35.0,0.0,5.233,2024-10-16 23:17:40,2024-10-16,23:17:40,Northwest
15,37.5116883,22.385055,1729109864000,35.0,0.0,5.233,2024-10-16 23:17:44,2024-10-16,23:17:44,North
15,37.5116883,22.385055,1729109865000,35.0,0.0,5.233,2024-10-16 23:17:45,2024-10-16,23:17:45,Southeast
15,37.5110266,22.3860516,1729117097000,23.0,0.0,5.236,2024-10-17 01:18:17,2024-10-17,01:18:17,West
15,37.511265,22.3852199,1729117120000,8.0,0.0,5.236,2024-10-17 01:18:40,2024-10-17,01:18:40,East
15,37.5112383,22.385335,1729117126000,8.0,0.0,5.23,2024-10-17 01:18:46,2024-10-17,01:18:46,Southeast
15,37.5107349,22.385935,1729187920000,23.0,0.0,5.223,2024-10-17 20:58:40,2024-10-17,20:58:40,West
15,37.5107583,22.3856916,1729187924000,19.0,0.0,5.218,2024-10-17 20:58:44,2024-10-17,20:58:44,Southwest
