id,type,name,building_type,coordinates
1074936764,way,Unnamed Roof,roof,"[{""lat"": 37.5525513, ""lon"": 22.3993701}, {""lat"": 37.5524953, ""lon"": 22.3994943}, {""lat"": 37.5523797, ""lon"": 22.3994115}, {""lat"": 37.5524356, ""lon"": 22.3992872}, {""lat"": 37.5525513, ""lon"": 22.3993701}]"
1074936763,way,Unnamed Roof,roof,"[{""lat"": 37.551861, ""lon"": 22.3988889}, {""lat"": 37.5518173, ""lon"": 22.3990939}, {""lat"": 37.5517479, ""lon"": 22.3990704}, {""lat"": 37.5517917, ""lon"": 22.3988654}, {""lat"": 37.551861, ""lon"": 22.3988889}]"
1074936757,way,Unnamed Roof,roof,"[{""lat"": 37.5245088, ""lon"": 22.3801375}, {""lat"": 37.5245044, ""lon"": 22.3801515}, {""lat"": 37.5244931, ""lon"": 22.3801879}, {""lat"": 37.5244299, ""lon"": 22.3801565}, {""lat"": 37.5244457, ""lon"": 22.3801062}, {""lat"": 37.5244509, ""lon"": 22.3801088}, {""lat"": 37.5245088, ""lon"": 22.3801375}]"
1074936759,way,Unnamed Roof,roof,"[{""lat"": 37.5425516, ""lon"": 22.3927483}, {""lat"": 37.5424866, ""lon"": 22.3928998}, {""lat"": 37.5423558, ""lon"": 22.3928105}, {""lat"": 37.5423835, ""lon"": 22.3927461}, {""lat"": 37.542443, ""lon"": 22.3927867}, {""lat"": 37.5424804, ""lon"": 22.3926997}, {""lat"": 37.5425516, ""lon"": 22.3927483}]"
1074936761,way,Unnamed Roof,roof,"[{""lat"": 37.5469338, ""lon"": 22.3955507}, {""lat"": 37.5469117, ""lon"": 22.3956016}, {""lat"": 37.546891, ""lon"": 22.3956492}, {""lat"": 37.5468117, ""lon"": 22.3955944}, {""lat"": 37.5468341, ""lon"": 22.3955429}, {""lat"": 37.5468546, ""lon"": 22.3954959}, {""lat"": 37.5469338, ""lon"": 22.3955507}]"
1360087545,way,Unnamed Roof,roof,"[{""lat"": 37.5090193, ""lon"": 22.350382}, {""lat"": 37.5090217, ""lon"": 22.350315}, {""lat"": 37.5089156, ""lon"": 22.3503134}, {""lat"": 37.5089106, ""lon"": 22.3505402}, {""lat"": 37.5089578, ""lon"": 22.3505407}, {""lat"": 37.5089595, ""lon"": 22.350473}, {""lat"": 37.5089619, ""lon"": 22.3503796}, {""lat"": 37.5090193, ""lon"": 22.350382}]"
243466956,way,Unnamed Roof,roof,"[{""lat"": 37.5029689, ""lon"": 22.3888163}, {""lat"": 37.502566, ""lon"": 22.3892337}, {""lat"": 37.5026758, ""lon"": 22.3893906}, {""lat"": 37.5030719, ""lon"": 22.3889675}, {""lat"": 37.5029689, ""lon"": 22.3888163}]"
243466961,way,Unnamed Roof,roof,"[{""lat"": 37.5024364, ""lon"": 22.3876503}, {""lat"": 37.5028343, ""lon"": 22.3882452}, {""lat"": 37.5028841, ""lon"": 22.388193}, {""lat"": 37.5024923, ""lon"": 22.3875915}, {""lat"": 37.5024364, ""lon"": 22.3876503}]"
979880933,way,Unnamed School,school,"[{""lat"": 37.5152861, ""lon"": 22.3871569}, {""lat"": 37.5151305, ""lon"": 22.3872207}, {""lat"": 37.5152492, ""lon"": 22.3876814}, {""lat"": 37.5154049, ""lon"": 22.3876177}, {""lat"": 37.5152861, ""lon"": 22.3871569}]"
983700929,way,Unnamed School,school,"[{""lat"": 37.5161954, ""lon"": 22.3734588}, {""lat"": 37.5160504, ""lon"": 22.3733514}, {""lat"": 37.515901, ""lon"": 22.3736723}, {""lat"": 37.516046, ""lon"": 22.3737796}, {""lat"": 37.5161954, ""lon"": 22.3734588}]"
