name,highway,coordinates
Unnamed Road,track,"[{""lat"": 37.5308295, ""lon"": 22.3912165}, {""lat"": 37.5308335, ""lon"": 22.3912954}]"
Unnamed Road,track,"[{""lat"": 37.5297038, ""lon"": 22.3946765}, {""lat"": 37.529754, ""lon"": 22.394565}, {""lat"": 37.5297732, ""lon"": 22.3945168}, {""lat"": 37.5297913, ""lon"": 22.3943974}, {""lat"": 37.5298242, ""lon"": 22.3939817}, {""lat"": 37.5298519, ""lon"": 22.393692}, {""lat"": 37.5298774, ""lon"": 22.3932977}, {""lat"": 37.5298902, ""lon"": 22.3930751}, {""lat"": 37.5299157, ""lon"": 22.3928377}, {""lat"": 37.529937, ""lon"": 22.3925775}, {""lat"": 37.5299402, ""lon"": 22.3925064}, {""lat"": 37.529938, ""lon"": 22.3924595}]"
Unnamed Road,track,"[{""lat"": 37.529938, ""lon"": 22.3924595}, {""lat"": 37.5299295, ""lon"": 22.3924313}, {""lat"": 37.5299114, ""lon"": 22.3924153}, {""lat"": 37.5298795, ""lon"": 22.3924099}, {""lat"": 37.5295828, ""lon"": 22.3924112}, {""lat"": 37.5294254, ""lon"": 22.3924179}, {""lat"": 37.5291265, ""lon"": 22.3924662}, {""lat"": 37.5290957, ""lon"": 22.3924702}, {""lat"": 37.5290851, ""lon"": 22.3924783}, {""lat"": 37.5290766, ""lon"": 22.3924997}, {""lat"": 37.5290851, ""lon"": 22.3925252}, {""lat"": 37.5290989, ""lon"": 22.3925507}, {""lat"": 37.5291319, ""lon"": 22.3926164}, {""lat"": 37.5291967, ""lon"": 22.3927559}, {""lat"": 37.5292361, ""lon"": 22.3928203}, {""lat"": 37.5292744, ""lon"": 22.392886}, {""lat"": 37.529301, ""lon"": 22.3929624}, {""lat"": 37.5293382, ""lon"": 22.3931167}, {""lat"": 37.5293924, ""lon"": 22.3932897}, {""lat"": 37.5294328, ""lon"": 22.3933889}, {""lat"": 37.5295115, ""lon"": 22.3935378}, {""lat"": 37.5295307, ""lon"": 22.3935887}, {""lat"": 37.5295413, ""lon"": 22.393641}, {""lat"": 37.5295413, ""lon"": 22.3937403}, {""lat"": 37.5295254, ""lon"": 22.3938972}]"
Unnamed Road,service,"[{""lat"": 37.5396284, ""lon"": 22.405703}, {""lat"": 37.5395055, ""lon"": 22.4059215}]"
Unnamed Road,track,"[{""lat"": 37.5337114, ""lon"": 22.3995526}, {""lat"": 37.5335901, ""lon"": 22.3999697}, {""lat"": 37.5334725, ""lon"": 22.4003254}]"
Unnamed Road,track,"[{""lat"": 37.5328895, ""lon"": 22.3998602}, {""lat"": 37.5329765, ""lon"": 22.3997685}, {""lat"": 37.5330084, ""lon"": 22.399735}, {""lat"": 37.5330563, ""lon"": 22.3996666}, {""lat"": 37.5331286, ""lon"": 22.3995164}, {""lat"": 37.5331669, ""lon"": 22.3994319}, {""lat"": 37.5332264, ""lon"": 22.3993313}, {""lat"": 37.5332987, ""lon"": 22.3992509}, {""lat"": 37.5333881, ""lon"": 22.3991972}, {""lat"": 37.5334849, ""lon"": 22.3991382}, {""lat"": 37.5335497, ""lon"": 22.3991181}, {""lat"": 37.5336178, ""lon"": 22.3991221}, {""lat"": 37.5337114, ""lon"": 22.3991691}, {""lat"": 37.5338805, ""lon"": 22.399271}]"
Unnamed Road,service,"[{""lat"": 37.5408483, ""lon"": 22.3912034}, {""lat"": 37.540896, ""lon"": 22.3914483}, {""lat"": 37.5410555, ""lon"": 22.3915368}, {""lat"": 37.5411945, ""lon"": 22.3914324}]"
Unnamed Road,service,"[{""lat"": 37.5348387, ""lon"": 22.3902789}, {""lat"": 37.5348004, ""lon"": 22.3906812}, {""lat"": 37.5347887, ""lon"": 22.3908032}, {""lat"": 37.5347834, ""lon"": 22.3908582}, {""lat"": 37.5347812, ""lon"": 22.3909079}, {""lat"": 37.5347898, ""lon"": 22.3909427}, {""lat"": 37.5348078, ""lon"": 22.3909695}, {""lat"": 37.5348429, ""lon"": 22.3909883}, {""lat"": 37.5349727, ""lon"": 22.3910165}, {""lat"": 37.5352864, ""lon"": 22.3910889}, {""lat"": 37.5353034, ""lon"": 22.3910969}, {""lat"": 37.535314, ""lon"": 22.391113}, {""lat"": 37.5353279, ""lon"": 22.3911385}, {""lat"": 37.5353374, ""lon"": 22.391168}, {""lat"": 37.5353406, ""lon"": 22.3912284}, {""lat"": 37.5353406, ""lon"": 22.3912914}, {""lat"": 37.5353172, ""lon"": 22.3914564}, {""lat"": 37.5352577, ""lon"": 22.3917434}, {""lat"": 37.5351906, ""lon"": 22.3919682}]"
Unnamed Road,service,"[{""lat"": 37.5351047, ""lon"": 22.3919343}, {""lat"": 37.535095, ""lon"": 22.3921202}, {""lat"": 37.5350918, ""lon"": 22.3921886}, {""lat"": 37.5350811, ""lon"": 22.3922342}, {""lat"": 37.5350641, ""lon"": 22.3922583}, {""lat"": 37.5350343, ""lon"": 22.3922704}, {""lat"": 37.5349897, ""lon"": 22.3922731}, {""lat"": 37.5347727, ""lon"": 22.3922516}]"
Unnamed Road,track,"[{""lat"": 37.5300954, ""lon"": 22.3914805}, {""lat"": 37.5300986, ""lon"": 22.3912746}, {""lat"": 37.5301039, ""lon"": 22.3912183}, {""lat"": 37.5301124, ""lon"": 22.3911915}, {""lat"": 37.5301252, ""lon"": 22.3911754}]"
